# Written on 6-5-2020 at 20:22:38
    0.0000   -5.7012
    0.0866   -5.6746
    0.1732   -5.5903
    0.2598   -5.4379
    0.3464   -5.2083
    0.4330   -4.9015
    0.5196   -4.5332
    0.6062   -4.1366
    0.6928   -3.7620
    0.7794   -3.4785
    0.8660   -3.3691
    0.9526   -3.4785
    1.0392   -3.7620
    1.1258   -4.1366
    1.2124   -4.5332
    1.2990   -4.9015
    1.3856   -5.2083
    1.4722   -5.4379
    1.5588   -5.5903
    1.6454   -5.6746
    1.7321   -5.7012

    0.0000    6.2632
    0.0866    6.0436
    0.1732    5.4231
    0.2598    4.5048
    0.3464    3.4280
    0.4330    2.3328
    0.5196    1.3308
    0.6062    0.4920
    0.6928   -0.1482
    0.7794   -0.5630
    0.8660   -0.7107
    0.9526   -0.5630
    1.0392   -0.1482
    1.1258    0.4920
    1.2124    1.3308
    1.2990    2.3328
    1.3856    3.4280
    1.4722    4.5048
    1.5588    5.4231
    1.6454    6.0436
    1.7321    6.2632

    0.0000    6.2632
    0.0866    6.2176
    0.1732    6.0905
    0.2598    5.9076
    0.3464    5.7022
    0.4330    5.5054
    0.5196    5.3393
    0.6062    5.2141
    0.6928    5.1305
    0.7794    5.0838
    0.8660    5.0689
    0.9526    5.0838
    1.0392    5.1305
    1.1258    5.2141
    1.2124    5.3393
    1.2990    5.5054
    1.3856    5.7022
    1.4722    5.9076
    1.5588    6.0905
    1.6454    6.2176
    1.7321    6.2632

    0.0000    6.2632
    0.0866    6.2176
    0.1732    6.0906
    0.2598    5.9077
    0.3464    5.7022
    0.4330    5.5054
    0.5196    5.3393
    0.6062    5.2141
    0.6928    5.1305
    0.7794    5.0838
    0.8660    5.0689
    0.9526    5.0838
    1.0392    5.1305
    1.1258    5.2141
    1.2124    5.3393
    1.2990    5.5054
    1.3856    5.7022
    1.4722    5.9077
    1.5588    6.0906
    1.6454    6.2176
    1.7321    6.2632
