# Written on 30Jul2015 at 12:00:39 
# Input file comment: Sample kpoints
#  Kpt_idx  K_x (1/ang)       K_y (1/ang)        K_z (1/ang)       Energy (eV)
        32  0.9988653565E-01   0.000000000       0.000000000      -2.570199969    
        32  0.9988653565E-01   0.000000000       0.000000000      -1.512863091    
        33  0.1031086820       0.000000000       0.000000000      -3.613963496    
        33  0.1031086820       0.000000000       0.000000000      -2.581411858    
        33  0.1031086820       0.000000000       0.000000000      -1.497578493    
        34  0.1063308283       0.000000000       0.000000000      -3.611245866    
        34  0.1063308283       0.000000000       0.000000000      -2.592355634    
        34  0.1063308283       0.000000000       0.000000000      -1.482402651    
        35  0.1095529746       0.000000000       0.000000000      -3.608379228    
        35  0.1095529746       0.000000000       0.000000000      -2.603045727    
        35  0.1095529746       0.000000000       0.000000000      -1.467318234    
        36  0.1127751209       0.000000000       0.000000000      -3.605363852    
        36  0.1127751209       0.000000000       0.000000000      -2.613497471    
        36  0.1127751209       0.000000000       0.000000000      -1.452306991    
        37  0.1159972672       0.000000000       0.000000000      -3.602200687    
        37  0.1159972672       0.000000000       0.000000000      -2.623726998    
        37  0.1159972672       0.000000000       0.000000000      -1.437349891    
        38  0.1192194135       0.000000000       0.000000000      -3.598891349    
        38  0.1192194135       0.000000000       0.000000000      -2.633751134    
        38  0.1192194135       0.000000000       0.000000000      -1.422427269    
        39  0.1224415598       0.000000000       0.000000000      -3.595438115    
        39  0.1224415598       0.000000000       0.000000000      -2.643587289    
        39  0.1224415598       0.000000000       0.000000000      -1.407518990    
        40  0.1256637061       0.000000000       0.000000000      -3.591843900    
        40  0.1256637061       0.000000000       0.000000000      -2.653253333    
        40  0.1256637061       0.000000000       0.000000000      -1.392604622    
        41  0.1288858525       0.000000000       0.000000000      -3.588112225    
        41  0.1288858525       0.000000000       0.000000000      -2.662767479    
        41  0.1288858525       0.000000000       0.000000000      -1.377663618    
        42  0.1321079988       0.000000000       0.000000000      -3.584247188    
        42  0.1321079988       0.000000000       0.000000000      -2.672148154    
        42  0.1321079988       0.000000000       0.000000000      -1.362675505    
        43  0.1353301451       0.000000000       0.000000000      -3.580253414    
        43  0.1353301451       0.000000000       0.000000000      -2.681413875    
        43  0.1353301451       0.000000000       0.000000000      -1.347620084    
        44  0.1385522914       0.000000000       0.000000000      -3.576136008    
        44  0.1385522914       0.000000000       0.000000000      -2.690583115    
        44  0.1385522914       0.000000000       0.000000000      -1.332477627    
        45  0.1417744377       0.000000000       0.000000000      -3.571900499    
        45  0.1417744377       0.000000000       0.000000000      -2.699674173    
        45  0.1417744377       0.000000000       0.000000000      -1.317229090    
        46  0.1449965840       0.000000000       0.000000000      -3.567552781    
        46  0.1449965840       0.000000000       0.000000000      -2.708705047    
        46  0.1449965840       0.000000000       0.000000000      -1.301856312    
        47  0.1482187303       0.000000000       0.000000000      -3.563099046    
        47  0.1482187303       0.000000000       0.000000000      -2.717693301    
        47  0.1482187303       0.000000000       0.000000000      -1.286342222    
        48  0.1514408766       0.000000000       0.000000000      -3.558545717    
        48  0.1514408766       0.000000000       0.000000000      -2.726655945    
        48  0.1514408766       0.000000000       0.000000000      -1.270671044    
        49  0.1546630229       0.000000000       0.000000000      -3.553899384    
